MARCA,ELEMENTOS TEXTUAIS,ELEMENTOS NÃO-TEXTUAIS,DATA,LINK,REDE,SEGMENTO
PETROBRAS,"A importância do combate à corrupção e avanços em nosso sistema de integridade foram os destaques da abertura do 6º Petrobras em Compliance, que contou com nosso presidente, Roberto Castello Branco. Leia mais: ",LINK COM FOTO,10/12/19,https://twitter.com/petrobras/status/1204417038388617216,TWITTER,ENERGIA
PETROBRAS,Mais uma plataforma rumo ao pré-sal! A P-70 é a próxima plataforma a entrar em operação no pré-sal e está vindo da China para o Brasil. Saiba mais sobre a jornada da P-70: https://petrobr.as/p70-tw ,VIDEO GIF,06/12/19,https://twitter.com/petrobras/status/1203029860546994178,TWITTER,ENERGIA
PETROBRAS,"Castello Branco: ""Não somos orientados por volume, e sim orientados por valor. Nosso compromisso é gerar valor para os nossos acionistas."" #PetrobrasDay ",IMAGEM FIXA,06/12/19,https://twitter.com/petrobras/status/1203016691510337537,TWITTER,ENERGIA
PETROBRAS,"Nossos diretores receberam a imprensa britânica no #PetrobrasDay Londres, onde apresentaram a estratégia da empresa para os próximos anos. ",IMAGEM FIXA,06/12/19,https://twitter.com/petrobras/status/1203003970278612992,TWITTER,ENERGIA
PETROBRAS,"Estamos hoje em Londres para apresentar nosso Plano Estratégico e visão de futuro para os investidores, analistas e jornalistas do Reino Unido. #PetrobrasDay ",IMAGEM FIXA,06/12/19,https://twitter.com/petrobras/status/1202953468367036416,TWITTER,ENERGIA
PETROBRAS,"Entre os dias 9 e 13 de dezembro, realizaremos a Semana Petrobras em Compliance. A ideia é reunir especialistas para discutir temas relacionados a compliance, governança e ética. Saiba mais sobre o evento e confira a agenda completa de atividades: https://petrobr.as/compliance_tw ",IMAGEM FIXA,05/12/19,https://twitter.com/petrobras/status/1202678516065681409,TWITTER,ENERGIA
PETROBRAS,“#PetrobrasDay”,LINK COM FOTO,05/12/19,https://twitter.com/petrobras/status/1202596734402256899,TWITTER,ENERGIA
PETROBRAS,"Nesta quarta-feira (04/12), realizamos o #PetrobrasDay na Bolsa de Nova York (@NYSE) para apresentar nossos planos para o futuro. Saiba mais sobre o evento e conheça nosso Plano Estratégico 2020-2024 em: https://petrobr.as/0412-petrobrasday …",IMAGEM FIXA,04/12/19,https://twitter.com/petrobras/status/1202329395345678336,TWITTER,ENERGIA
PETROBRAS,"Castello Branco, ao fim do evento: “Apesar de todas as nossas conquistas neste ano, gostaria de ressaltar que os melhores dias ainda estão por vir."" #PetrobrasDay",VIDEO,04/12/19,https://twitter.com/petrobras/status/1202328731198599168,TWITTER,ENERGIA
PETROBRAS,"A #TransformaçãoDigital também é pauta na apresentação do Plano Estratégico. Impulsionados por novas plataformas, estamos otimizando e automatizando processos para obter ganhos de produtividade e redução de custos. https://petrobr.as/petrobrasday  #PetrobrasDay",IMAGEM FIXA,04/12/19,https://twitter.com/petrobras/status/1202323205165322243,TWITTER,ENERGIA
PETROBRAS,9. 100% de nossas instalações com plano de ação em biodiversidade até 2025. 10. Manutenção dos investimentos em projetos socioambientais como aqueles que hoje fazem parte do Programa Petrobras Socioambiental. #PetrobrasDay,IMAGEM FIXA,04/12/19,https://twitter.com/petrobras/status/1202319631844859904,TWITTER,ENERGIA
PETROBRAS,7. Redução de 30% na captação de água doce em nossas operações com foco no aumento do reúso até 2025. 8. Crescimento zero na geração de resíduos de processo até 2025.,IMAGEM FIXA,04/12/19,https://twitter.com/petrobras/status/1202319622655086599,TWITTER,ENERGIA
PETROBRAS,5. Redução de 30%-50% na intensidade de emissões do metano no segmento de E&P até 2025. 6. Redução de 16% na intensidade de carbono no refino até 2025.,IMAGEM FIXA,04/12/19,https://twitter.com/petrobras/status/1202319612743966721,TWITTER,ENERGIA
PETROBRAS,"3. Reinjeção de ~40 MM ton CO2 até 2025 em projetos de Captura, Usos e Armazenamento de CO2. 4. Redução de 32% na intensidade de carbono no segmento de E&P até 2025.",IMAGEM FIXA,04/12/19,https://twitter.com/petrobras/status/1202319603306811393,TWITTER,ENERGIA
